actions,move_defs,att_defs
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",DOWN,X
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",DOWN,A
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",DOWN,C
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",DOWN,Y
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",DOWN,B
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",DOWN,Z
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",DOWN,IDLE
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",IDLE,B
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",IDLE,A
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",IDLE,Z
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",IDLE,Y
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",IDLE,C
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",IDLE,X
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",LEFT,IDLE
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",LEFT,B
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",LEFT,A
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",LEFT,Z
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",LEFT,C
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",LEFT,Y
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",LEFT,X
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",RIGHT,Z
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",RIGHT,Y
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",RIGHT,C
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",RIGHT,B
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",RIGHT,A
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",RIGHT,X
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",RIGHT,IDLE
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",UP,A
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",UP,X
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",UP,Y
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",UP,Z
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",UP,IDLE
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",UP,C
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",UP,B
